S,C_soul
4.095477386934673447e+00,2.943786982248520756e-01
4.120603015075377407e+00,2.929342492639842588e-01
4.145728643216080478e+00,2.915039062500000000e-01
4.170854271356784437e+00,2.900874635568512772e-01
4.195979899497487509e+00,2.886847195357833407e-01
4.221105527638191468e+00,2.872954764196342103e-01
4.246231155778894539e+00,2.859195402298850275e-01
4.271356783919598499e+00,2.845567206863679477e-01
4.296482412060301570e+00,2.832068311195445887e-01
4.321608040201005529e+00,2.818696883852691015e-01
4.346733668341708601e+00,2.805451127819548751e-01
4.371859296482412560e+00,2.792329279700654365e-01
4.396984924623115631e+00,2.779329608938547191e-01
4.422110552763819591e+00,2.766450417052826460e-01
4.447236180904522662e+00,2.753690036900369176e-01
4.472361809045226622e+00,2.741046831955922802e-01
4.497487437185929693e+00,2.728519195612431614e-01
4.522613065326633652e+00,2.716105550500454990e-01
4.547738693467336724e+00,2.703804347826087029e-01
4.572864321608040683e+00,2.691614066726780718e-01
4.597989949748743754e+00,2.679533213644524348e-01
4.623115577889447714e+00,2.667560321715817251e-01
4.648241206030150785e+00,2.655693950177935858e-01
4.673366834170854744e+00,2.643932683790965465e-01
4.698492462311557816e+00,2.632275132275131990e-01
4.723618090452261775e+00,2.620719929762949651e-01
4.748743718592964846e+00,2.609265734265734382e-01
4.773869346733668806e+00,2.597911227154046654e-01
4.798994974874371877e+00,2.586655112651646271e-01
4.824120603015075837e+00,2.575496117342536695e-01
4.849246231155778908e+00,2.564432989690721421e-01
4.874371859296482867e+00,2.553464499572283830e-01
4.899497487437185939e+00,2.542589437819420817e-01
4.924623115577889898e+00,2.531806615776081015e-01
4.949748743718592969e+00,2.521114864864865135e-01
4.974874371859296929e+00,2.510513036164844225e-01
5.000000000000000000e+00,2.500000000000000000e-01
